cik,former_name,from_date,to_date
0000064040,MCGRAW HILL INC,1994-06-29T00:00:00.000Z,1995-02-24T00:00:00.000Z
0000732717,SBC COMMUNICATIONS INC,1995-05-26T00:00:00.000Z,2005-11-18T00:00:00.000Z
0000732717,SOUTHWESTERN BELL CORP,1994-06-24T00:00:00.000Z,1995-04-26T00:00:00.000Z
0001973239,Arm Holdings Ltd,2023-04-28T00:00:00.000Z,2023-09-01T00:00:00.000Z
0001121404,SANOFI-AVENTIS,2004-08-30T00:00:00.000Z,2011-05-09T00:00:00.000Z
0001121404,SANOFI SYNTHELABO SA,2001-01-08T00:00:00.000Z,2004-08-24T00:00:00.000Z
0000811809,BHP BILLITON LTD,2001-08-07T00:00:00.000Z,2018-11-27T00:00:00.000Z
0000811809,BHP LTD,2001-02-08T00:00:00.000Z,2001-06-12T00:00:00.000Z
0000811809,BROKEN HILL PROPRIETARY CO LTD,1996-01-17T00:00:00.000Z,2001-01-29T00:00:00.000Z
0000872589,REGENERON PHARMACEUTICALS INC,1995-07-26T00:00:00.000Z,2019-06-19T00:00:00.000Z
0000773840,ALLIEDSIGNAL INC,1994-11-07T00:00:00.000Z,1999-11-12T00:00:00.000Z
0000773840,ALLIED SIGNAL INC,1994-06-23T00:00:00.000Z,1994-08-15T00:00:00.000Z
0001364742,BlackRock Inc.,2006-09-05T00:00:00.000Z,2024-09-26T00:00:00.000Z
0001364742,"BlackRock, Inc.",2006-10-03T00:00:00.000Z,2006-10-05T00:00:00.000Z
0001364742,"New BlackRock, Inc.",2006-06-09T00:00:00.000Z,2006-09-29T00:00:00.000Z
0001163165,CORVETTEPORSCHE CORP,2001-12-07T00:00:00.000Z,2001-12-07T00:00:00.000Z
0001156039,"Anthem, Inc.",2014-12-02T00:00:00.000Z,2022-06-24T00:00:00.000Z
0001156039,"WELLPOINT, INC",2010-01-06T00:00:00.000Z,2014-11-12T00:00:00.000Z
0001156039,WELLPOINT INC,2004-11-30T00:00:00.000Z,2009-12-21T00:00:00.000Z
0001156039,ANTHEM INC,2001-12-17T00:00:00.000Z,2004-11-30T00:00:00.000Z
0000320187,NIKE INC,1995-01-20T00:00:00.000Z,2019-08-05T00:00:00.000Z
0000067088,MITSUBISHI TOKYO FINANCIAL GROUP INC,2002-10-18T00:00:00.000Z,2005-09-29T00:00:00.000Z
0000067088,MITSUBISHI TOKYO FINANCIAL GROUP INC /ADR/,2002-02-04T00:00:00.000Z,2002-09-16T00:00:00.000Z
0001075531,Priceline Group Inc.,2014-04-01T00:00:00.000Z,2018-02-16T00:00:00.000Z
0001075531,PRICELINE COM INC,1998-12-23T00:00:00.000Z,2014-03-19T00:00:00.000Z
0001378580,European Aeronautic Defence & Space Co EADS NV Unsponsored ADR Facility,2006-10-19T00:00:00.000Z,2013-12-30T00:00:00.000Z
0001668717,Newbelco SA/NV,2016-03-07T00:00:00.000Z,2016-10-04T00:00:00.000Z
0001551182,Eaton Corp Ltd,2012-06-22T00:00:00.000Z,2012-11-16T00:00:00.000Z
0000831001,TRAVELERS GROUP INC,1995-11-13T00:00:00.000Z,1998-09-10T00:00:00.000Z
0000831001,TRAVELERS INC,1994-02-10T00:00:00.000Z,1995-01-30T00:00:00.000Z
0001045609,AMB PROPERTY CORP,1997-10-28T00:00:00.000Z,2011-06-03T00:00:00.000Z
0000896159,ACE LTD,2009-12-17T00:00:00.000Z,2016-01-15T00:00:00.000Z
0000896159,ACE Ltd,2009-12-17T00:00:00.000Z,2016-01-15T00:00:00.000Z
0000319201,KLA TENCOR CORP,1997-09-10T00:00:00.000Z,2019-07-03T00:00:00.000Z
0000319201,KLA INSTRUMENTS CORP,1994-01-26T00:00:00.000Z,1997-02-11T00:00:00.000Z
0001404912,KKR & Co. L.P.,2007-07-03T00:00:00.000Z,2018-06-29T00:00:00.000Z
0000313838,SONY CORP,1996-09-25T00:00:00.000Z,2021-05-14T00:00:00.000Z
0000062709,MARSH & MCLENNAN COMPANIES INC,1994-05-13T00:00:00.000Z,2005-01-31T00:00:00.000Z
0001613103,Medtronic Ltd,2015-01-15T00:00:00.000Z,2015-01-15T00:00:00.000Z
0001613103,Medtronic Holdings Ltd,2014-07-14T00:00:00.000Z,2014-11-21T00:00:00.000Z
0001053507,AMERICAN TOWER SYSTEMS CORP,1998-02-13T00:00:00.000Z,1998-05-08T00:00:00.000Z
0000863064,RTZ CORPORATION PLC,1995-06-01T00:00:00.000Z,1995-05-22T00:00:00.000Z
0000860730,"HCA Holdings, Inc.",2010-06-03T00:00:00.000Z,2017-05-05T00:00:00.000Z
0000860730,HCA INC/TN,2001-08-07T00:00:00.000Z,2010-11-24T00:00:00.000Z
0000860730,HCA THE HEALTHCARE CO,2001-05-30T00:00:00.000Z,2001-05-21T00:00:00.000Z
0000860730,HCA-THE HEALTHCARE CO,2000-09-18T00:00:00.000Z,2001-02-14T00:00:00.000Z
0000860730,COLUMBIA HCA HEALTHCARE CORP,2000-05-26T00:00:00.000Z,2000-05-19T00:00:00.000Z
0000860730,COLUMBIA HCA HEALTHCARE CORP/,1994-05-16T00:00:00.000Z,2000-02-16T00:00:00.000Z
0000860730,COLUMBIA HEALTHCARE CORP,1994-02-14T00:00:00.000Z,1994-03-01T00:00:00.000Z
0001739940,Cigna Corp,2018-12-26T00:00:00.000Z,2023-02-09T00:00:00.000Z
0001739940,"Halfmoon Parent, Inc.",2018-05-16T00:00:00.000Z,2018-12-20T00:00:00.000Z
0001103982,KRAFT FOODS INC,2000-01-24T00:00:00.000Z,2012-09-28T00:00:00.000Z
0000313807,BP AMOCO PLC,1999-04-01T00:00:00.000Z,2001-04-03T00:00:00.000Z
0000313807,BRITISH PETROLEUM CO PLC,1998-03-10T00:00:00.000Z,1998-02-09T00:00:00.000Z
0000313807,BRITISH PETROLEUM COMPANY,1997-02-26T00:00:00.000Z,1997-02-26T00:00:00.000Z
0001119639,BRAZILIAN PETROLEUM CORP,2001-03-27T00:00:00.000Z,2008-06-02T00:00:00.000Z
0000882095,GILEAD SCIENCES INC,1994-02-14T00:00:00.000Z,2022-02-17T00:00:00.000Z
0001067491,INFOSYS TECHNOLOGIES LTD,1999-02-11T00:00:00.000Z,2011-10-12T00:00:00.000Z
0001571949,"IntercontinentalExchange Group, Inc.",2013-03-20T00:00:00.000Z,2014-05-29T00:00:00.000Z
0001022837,SUMITOMO MITSUI FINANCIAL GROUP/FI,2003-03-03T00:00:00.000Z,2009-01-05T00:00:00.000Z
0001022837,SUMITOMO BANK LTD TOKYO     /FI,2002-02-25T00:00:00.000Z,2002-12-10T00:00:00.000Z
0000764180,ALTRIA GROUP INC,2003-01-29T00:00:00.000Z,2006-02-07T00:00:00.000Z
0000764180,PHILIP MORRIS COMPANIES INC,1994-04-13T00:00:00.000Z,2003-01-02T00:00:00.000Z
0001326160,Duke Energy Holding Corp.,2005-07-01T00:00:00.000Z,2006-04-03T00:00:00.000Z
0001326160,Deer Holding Corp.,2005-05-09T00:00:00.000Z,2005-06-22T00:00:00.000Z
0000929869,REED ELSEVIER PLC,2001-07-20T00:00:00.000Z,2015-07-01T00:00:00.000Z
0000929869,REED ELSEVIER NV,2002-08-22T00:00:00.000Z,2003-04-15T00:00:00.000Z
0000929869,REED INTERNATIONAL PLC,1998-03-27T00:00:00.000Z,2002-08-14T00:00:00.000Z
0001059556,DUN & BRADSTREET CORP /DE/,1998-09-29T00:00:00.000Z,2000-02-04T00:00:00.000Z
0001059556,NEW DUN & BRADSTREET CORP,1998-04-16T00:00:00.000Z,1998-06-26T00:00:00.000Z
0000895728,IPL ENERGY INC,1998-02-18T00:00:00.000Z,1999-02-16T00:00:00.000Z
0001131399,GLAXOSMITHKLINE PLC,2001-05-14T00:00:00.000Z,2022-05-16T00:00:00.000Z
0000823768,USA WASTE SERVICES INC,1994-08-05T00:00:00.000Z,1998-07-10T00:00:00.000Z
0001648416,NEW BUSINESS NETHERLANDS N.V.,2015-07-23T00:00:00.000Z,2015-10-19T00:00:00.000Z
0001001838,SOUTHERN PERU COPPER CORP/,1996-11-14T00:00:00.000Z,2005-09-20T00:00:00.000Z
0001001838,SOUTHERN PERU COPPER HOLDING CO,1996-01-12T00:00:00.000Z,1996-05-14T00:00:00.000Z
0001571996,Dell Technologies Inc,2016-01-14T00:00:00.000Z,2020-01-29T00:00:00.000Z
0001571996,Denali Holding Inc.,2013-07-24T00:00:00.000Z,2016-07-21T00:00:00.000Z
0001466258,Ingersoll-Rand plc,2009-07-01T00:00:00.000Z,2020-02-24T00:00:00.000Z
0001140625,STATOIL ASA,2002-02-20T00:00:00.000Z,2018-05-16T00:00:00.000Z
0001140625,STATOILHYDRO ASA,2007-10-15T00:00:00.000Z,2009-10-19T00:00:00.000Z
0000310732,BANQUE NATIONALE DE PARIS,1998-11-10T00:00:00.000Z,2000-04-07T00:00:00.000Z
0001156375,CHICAGO MERCANTILE EXCHANGE HOLDINGS INC,2001-08-07T00:00:00.000Z,2007-07-13T00:00:00.000Z
0001133421,NNG INC,2001-02-01T00:00:00.000Z,2001-04-02T00:00:00.000Z
0000016875,CANADIAN PACIFIC RAILWAY LTD/CN,2002-08-07T00:00:00.000Z,2023-04-05T00:00:00.000Z
0000016875,CANADIAN PACIFIC RAILWAY CO/CN,2000-11-08T00:00:00.000Z,2002-07-24T00:00:00.000Z
0001075124,THOMSON CORP /CAN/,2002-01-18T00:00:00.000Z,2008-04-08T00:00:00.000Z
0000064803,CVS CAREMARK CORP,2006-12-27T00:00:00.000Z,2014-09-03T00:00:00.000Z
0000064803,CVS/CAREMARK CORP,2007-03-23T00:00:00.000Z,2007-05-08T00:00:00.000Z
0000064803,CVS CORP,1997-02-07T00:00:00.000Z,2007-03-22T00:00:00.000Z
0000064803,MELVILLE CORP,1994-03-31T00:00:00.000Z,1997-01-10T00:00:00.000Z
0000821189,ENRON OIL & GAS CO,1994-02-08T00:00:00.000Z,1999-08-10T00:00:00.000Z
0000891478,BANCO SANTANDER SA,2007-09-25T00:00:00.000Z,2007-09-25T00:00:00.000Z
0000891478,BANCO SANTANDER CENTRAL HISPANO SA,1999-12-14T00:00:00.000Z,2007-09-25T00:00:00.000Z
0000891478,BANCO SANTANDER S A,1994-03-30T00:00:00.000Z,1999-02-08T00:00:00.000Z
0000315293,AON CORP,1995-11-14T00:00:00.000Z,2012-04-02T00:00:00.000Z
0001321655,Palantir Technologies Inc,2005-03-22T00:00:00.000Z,2011-09-07T00:00:00.000Z
0001260221,TD HOLDING CORP,2003-08-15T00:00:00.000Z,2005-12-20T00:00:00.000Z
0000927653,MCKESSON HBOC INC,1999-09-10T00:00:00.000Z,2001-08-13T00:00:00.000Z
0001067318,DAIMLERCHRYSLER AG,1998-11-04T00:00:00.000Z,2007-08-29T00:00:00.000Z
0000766704,HEALTH CARE REIT INC /DE/,1994-04-29T00:00:00.000Z,2015-09-25T00:00:00.000Z
0000068505,MOTOROLA INC,1994-08-10T00:00:00.000Z,2011-01-03T00:00:00.000Z
0001001085,BROOKFIELD ASSET MANAGEMENT INC.,2005-09-16T00:00:00.000Z,2022-12-07T00:00:00.000Z
0001001085,BRASCAN CORP/,2001-08-24T00:00:00.000Z,2005-11-16T00:00:00.000Z
0001001085,EDPERBRASCAN CORP,1998-02-10T00:00:00.000Z,2001-02-13T00:00:00.000Z
0000066740,MINNESOTA MINING & MANUFACTURING CO,1993-08-13T00:00:00.000Z,2002-02-06T00:00:00.000Z
0001048911,FDX CORP,1997-11-04T00:00:00.000Z,2000-02-10T00:00:00.000Z
0000713676,PNC FINANCIAL SERVICES GROUP INC,2000-06-27T00:00:00.000Z,2011-11-10T00:00:00.000Z
0000713676,PNC BANK CORP,1994-02-14T00:00:00.000Z,2000-02-11T00:00:00.000Z
0000031462,ECOLAB INC,1994-02-10T00:00:00.000Z,2015-09-10T00:00:00.000Z
0000036104,FIRST BANK SYSTEM INC,1994-08-15T00:00:00.000Z,1997-03-28T00:00:00.000Z
0000027419,DAYTON HUDSON CORP,1994-12-09T00:00:00.000Z,1999-04-12T00:00:00.000Z
0000898173,OREILLY AUTOMOTIVE INC,1996-08-13T00:00:00.000Z,1998-04-10T00:00:00.000Z
0001413447,KASLION Acquisition B.V.,2007-09-26T00:00:00.000Z,2010-04-16T00:00:00.000Z
0001060391,REPUBLIC SERVICES INC,1998-07-08T00:00:00.000Z,2009-01-07T00:00:00.000Z
0000087347,SCHLUMBERGER LTD /NV/,2002-10-02T00:00:00.000Z,2016-10-03T00:00:00.000Z
0000087347,SCHLUMBERGER LTD /NY/,1996-11-13T00:00:00.000Z,2002-08-09T00:00:00.000Z
0001524684,Glencore International PLC/ADR,2011-07-05T00:00:00.000Z,2013-05-15T00:00:00.000Z
0001061219,ENTERPRISE PRODUCTS PARTNERS L P,1998-07-21T00:00:00.000Z,2019-07-09T00:00:00.000Z
0001061219,ENTERPRISES PRODUCTS PARTNERS L P,1998-05-13T00:00:00.000Z,1998-05-13T00:00:00.000Z
0001858681,"Tango Holdings, Inc.",2021-05-07T00:00:00.000Z,2021-11-05T00:00:00.000Z
0001004315,NATIONAL GRID TRANSCO PLC,2002-11-26T00:00:00.000Z,2005-07-28T00:00:00.000Z
0001004315,NATIONAL GRID GROUP PLC,2000-09-14T00:00:00.000Z,2002-11-01T00:00:00.000Z
0000831259,FREEPORT MCMORAN COPPER & GOLD INC,1994-01-12T00:00:00.000Z,2014-07-02T00:00:00.000Z
0000354190,GALLAGHER ARTHUR J & CO,1994-01-25T00:00:00.000Z,2019-08-14T00:00:00.000Z
0001048286,NEW MARRIOTT MI INC,1998-03-16T00:00:00.000Z,1998-03-20T00:00:00.000Z
0001327811,Workday Inc,2007-01-10T00:00:00.000Z,2007-09-05T00:00:00.000Z
0001327811,North Tahoe Power Tools Inc,2005-05-17T00:00:00.000Z,2006-12-18T00:00:00.000Z
0000002969,AIR PRODUCTS & CHEMICALS INC /DE/,1994-03-15T00:00:00.000Z,2022-04-07T00:00:00.000Z
0001132597,Itau Unibanco Banco Multiplo S.A.,2009-03-11T00:00:00.000Z,2009-10-01T00:00:00.000Z
0001132597,BANCO ITAU HOLDING FINANCEIRA S A,2003-03-19T00:00:00.000Z,2009-02-25T00:00:00.000Z
0001132597,BANCO ITAU SA,2002-02-19T00:00:00.000Z,2003-03-18T00:00:00.000Z
0001222333,streetTRACKS GOLD TRUST,2004-11-08T00:00:00.000Z,2008-05-20T00:00:00.000Z
0001222333,EQUITY GOLD TRUST,2003-05-13T00:00:00.000Z,2004-08-30T00:00:00.000Z
0001868275,"Constellation Newholdco, Inc.",2021-07-26T00:00:00.000Z,2021-11-12T00:00:00.000Z
0000842180,BANCO BILBAO VIZCAYA ARGENTARIA S A,2002-02-21T00:00:00.000Z,2006-10-13T00:00:00.000Z
0000882835,ROPER INDUSTRIES INC,2008-06-04T00:00:00.000Z,2015-04-24T00:00:00.000Z
0000882835,ROPER INDUSTRIES INC /DE/,1994-03-09T00:00:00.000Z,2008-05-14T00:00:00.000Z
0001063761,CORPORATE PROPERTY INVESTORS INC,1998-09-17T00:00:00.000Z,1998-09-25T00:00:00.000Z
0001110646,"NETEASE.COM, INC.",2004-07-28T00:00:00.000Z,2012-03-22T00:00:00.000Z
0001110646,NETEASE COM INC,2002-05-06T00:00:00.000Z,2004-07-08T00:00:00.000Z
0000009631,BANK OF NOVA SCOTIA /,2000-11-08T00:00:00.000Z,2015-01-15T00:00:00.000Z
0001164727,NEWMONT GOLDCORP CORP /DE/,2019-04-22T00:00:00.000Z,2020-01-03T00:00:00.000Z
0001164727,NEWMONT MINING CORP /DE/,2002-03-12T00:00:00.000Z,2019-04-16T00:00:00.000Z
0001164727,DELTA HOLDCO CORP,2002-02-15T00:00:00.000Z,2002-02-05T00:00:00.000Z
0001446250,Bayerische Motoren Werke AG,2008-10-10T00:00:00.000Z,2014-11-10T00:00:00.000Z
0000092230,BB&T CORP,1997-06-06T00:00:00.000Z,2019-12-06T00:00:00.000Z
0000092230,SOUTHERN NATIONAL CORP /NC/,1994-05-19T00:00:00.000Z,1997-05-14T00:00:00.000Z
0001262039,FORTINET INC,2003-08-29T00:00:00.000Z,2019-05-08T00:00:00.000Z
0001276187,"Energy Transfer Equity, L.P.",2005-09-02T00:00:00.000Z,2018-09-18T00:00:00.000Z
0001276187,LAGRANGE ENERGY LP,2004-01-22T00:00:00.000Z,2005-06-24T00:00:00.000Z
0000107263,WILLIAMS COMPANIES INC,1994-12-16T00:00:00.000Z,2019-06-14T00:00:00.000Z
0000769397,AUTODESK INC,1994-09-14T00:00:00.000Z,2019-09-25T00:00:00.000Z
0001792789,DoorDash Inc,2020-02-13T00:00:00.000Z,2021-02-24T00:00:00.000Z
0001129137,AMERICA MOVIL SA DE CV/,2001-03-30T00:00:00.000Z,2007-01-05T00:00:00.000Z
0001129137,AMERICA MOVIL SA DE CV,2000-12-11T00:00:00.000Z,2000-12-11T00:00:00.000Z
0000895564,BRITISH AEROSPACE PUBLIC LTD CO /FI/,2004-03-17T00:00:00.000Z,2004-03-17T00:00:00.000Z
0000311337,SUNCOR ENERGY INC.,1998-08-12T00:00:00.000Z,1998-08-12T00:00:00.000Z
0000004904,AMERICAN ELECTRIC POWER COMPANY INC,1994-05-16T00:00:00.000Z,2002-01-10T00:00:00.000Z
0001039684,WAI INC,1997-11-21T00:00:00.000Z,1997-11-28T00:00:00.000Z
0001032208,SEMPRA ENERGY,1998-08-14T00:00:00.000Z,2023-05-15T00:00:00.000Z
0001032208,MINERAL ENERGY CO,1997-03-26T00:00:00.000Z,1998-06-05T00:00:00.000Z
0001996810,GE Vernova LLC,2023-10-27T00:00:00.000Z,2024-03-13T00:00:00.000Z
0001091667,CHARTER COMMUNICATIONS INC /MO/,1999-12-02T00:00:00.000Z,2009-12-15T00:00:00.000Z
0000086312,ST PAUL TRAVELERS COMPANIES INC,2004-04-01T00:00:00.000Z,2007-02-23T00:00:00.000Z
0000086312,ST PAUL COMPANIES INC /MN/,1994-01-10T00:00:00.000Z,2004-03-31T00:00:00.000Z
0000086312,ST PAUL FIRE & MARINE INSURANCE CO/MD,1999-02-19T00:00:00.000Z,1999-02-19T00:00:00.000Z
0000745732,ROSS STORES INC,1994-02-14T00:00:00.000Z,2019-07-15T00:00:00.000Z
0000030554,DUPONT E I DE NEMOURS & CO,1994-01-06T00:00:00.000Z,2022-11-04T00:00:00.000Z
0001004980,PG&E PARENT CO INC,1996-12-06T00:00:00.000Z,1996-02-21T00:00:00.000Z
0001035002,VALERO REFINING & MARKETING CO,1997-05-13T00:00:00.000Z,1997-07-21T00:00:00.000Z
0001418135,"Dr Pepper Snapple Group, Inc.",2007-12-17T00:00:00.000Z,2018-07-02T00:00:00.000Z
0001418135,CSAB Inc.,2007-11-13T00:00:00.000Z,2007-11-13T00:00:00.000Z
0001051470,CROWN CASTLE INTERNATIONAL CORP,1998-01-08T00:00:00.000Z,2022-07-25T00:00:00.000Z
0001067701,UNITED RENTALS INC /DE,1998-11-16T00:00:00.000Z,2019-07-01T00:00:00.000Z
0000005272,AMERICAN INTERNATIONAL GROUP INC,1994-08-12T00:00:00.000Z,2021-02-10T00:00:00.000Z
0000277135,GRAINGER W W INC,1994-03-24T00:00:00.000Z,2019-10-15T00:00:00.000Z
0001318220,Progressive Waste Solutions Ltd.,2011-05-04T00:00:00.000Z,2016-05-31T00:00:00.000Z
0001318220,IESI-BFC Ltd,2009-05-27T00:00:00.000Z,2011-05-03T00:00:00.000Z
0001318220,BFI Canada Ltd,2008-10-17T00:00:00.000Z,2009-05-14T00:00:00.000Z
0001318220,BFI Canada Income Fund,2005-02-14T00:00:00.000Z,2005-02-23T00:00:00.000Z
0000715957,DOMINION ENERGY INC /VA/,2017-05-15T00:00:00.000Z,2019-10-03T00:00:00.000Z
0000715957,DOMINION RESOURCES INC /VA/,1995-02-21T00:00:00.000Z,2017-05-15T00:00:00.000Z
