cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription
0001707925,LINDE PLC,operating,2810,Industrial Inorganic Chemicals,08 Industrial Applications and Services,0,1,LIN,Nasdaq,000000000,,,,Large accelerated filer,1231,L2,Ireland,00441483242200,,"FORGE, 43 CHURCH STREET WEST",,WOKING SURREY,X0,GU216HT,United Kingdom,"FORGE, 43 CHURCH STREET WEST",,WOKING SURREY,X0,GU216HT,United Kingdom
0001737806,PDD Holdings Inc.,other,7389,"Services-Business Services, NEC",07 Trade & Services,0,0,PDD,Nasdaq,000000000,,,,Large accelerated filer,1231,E9,Cayman Islands,353 1 5397938,,"FIRST FLOOR, 25 ST STEPHEN'S GREEN",,DUBLIN 2,L2,D02 XF99,Ireland,"FIRST FLOOR, 25 ST STEPHEN'S GREEN",,DUBLIN 2,L2,D02 XF99,Ireland
0001467373,Accenture plc,operating,7389,"Services-Business Services, NEC",07 Trade & Services,1,1,ACN,NYSE,980627530,,,,Large accelerated filer,0831,L2,Ireland,353-1-646-2000,,1 GRAND CANAL SQUARE,GRAND CANAL HARBOUR,DUBLIN,L2,D2,Ireland,1 GRAND CANAL SQUARE,GRAND CANAL HARBOUR,DUBLIN,L2,D2,Ireland
0001061736,MEXICAN ECONOMIC DEVELOPMENT INC,other,2086,Bottled & Canned Soft Drinks & Carbonated Waters,04 Manufacturing,0,0,FMX,NYSE,000000000,,,,Large accelerated filer,1231,O5,Mexico,528183286167,,GENERAL ANAYA NO 601 PTE,COLONIA BELLA VISTA,"MONTERREY, N.L.",O5,64410,Mexico,GENERAL ANAYA NO 601 PTE,COLONIA BELLA VISTA,"MONTERREY, N.L.",O5,64410,Mexico
0000063908,MCDONALDS CORP,operating,5812,Retail-Eating  Places,07 Trade & Services,1,1,MCD,NYSE,362361282,,,,Large accelerated filer,1231,DE,DE,630 623 3000,,110 NORTH CARPENTER STREET,,CHICAGO,IL,60607,IL,110 NORTH CARPENTER STREET,,CHICAGO,IL,60607,IL
0000858877,"CISCO SYSTEMS, INC.",operating,3576,Computer Communications Equipment,06 Technology,1,1,CSCO,Nasdaq,770059951,,,,Large accelerated filer,0727,DE,DE,4085264000,,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA
0001577552,Alibaba Group Holding Ltd,other,7389,"Services-Business Services, NEC",07 Trade & Services,1,0,"BABA,BABAF,BBAAY","NYSE,OTC,OTC",000000000,,,,Large accelerated filer,,K3,Hong Kong,852-2215-5100,,26/F TOWER ONE,"TIMES SQUARE, 1 MATHESON STREET",CAUSEWAY BAY,K3,00000,Hong Kong,26/F TOWER ONE,"TIMES SQUARE, 1 MATHESON STREET",CAUSEWAY BAY,K3,00000,Hong Kong
0000313616,DANAHER CORP /DE/,operating,3823,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,DHR,NYSE,591995548,,,,Large accelerated filer,1231,DE,DE,2028280850,,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC
0000001800,ABBOTT LABORATORIES,operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,ABT,NYSE,360698440,,,,Large accelerated filer,1231,IL,IL,2246676100,,100 ABBOTT PARK ROAD,,ABBOTT PARK,IL,60064-3500,IL,100 ABBOTT PARK ROAD,,ABBOTT PARK,IL,60064-3500,IL
0000804328,QUALCOMM INC/DE,operating,3663,Radio & Tv Broadcasting & Communications Equipment,04 Manufacturing,1,1,QCOM,Nasdaq,953685934,,,,Large accelerated filer,0929,DE,DE,8585871121,,5775 MOREHOUSE DR,,SAN DIEGO,CA,92121,CA,5775 MOREHOUSE DR,,SAN DIEGO,CA,92121,CA
0000072971,WELLS FARGO & COMPANY/MN,operating,6021,National Commercial Banks,02 Finance,1,1,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ","NYSE,NYSE,NYSE,NYSE,OTC,NYSE,NYSE,NYSE",410449260,,,,Large accelerated filer,1231,DE,DE,8008693557,,420 MONTGOMERY STREET,,SAN FRANCISCO,CA,94104,CA,420 MONTGOMERY STREET,,SAN FRANCISCO,CA,94104,CA
0001067839,"INVESCO QQQ TRUST, SERIES 1",other,,,,0,0,QQQ,Nasdaq,753098642,,,,,0930,,,800-983-0903,,3500 LACEY ROAD,SUITE 700,DOWNERS GROVE,IL,60515,IL,3500 LACEY ROAD,SUITE 700,DOWNERS GROVE,IL,60515,IL
0000040545,GENERAL ELECTRIC CO,operating,3600,Electronic & Other Electrical Equipment (No Computer Equip),04 Manufacturing,1,1,GE,NYSE,140689340,,,,Large accelerated filer,1231,NY,NY,617-443-3000,,1 NEUMANN WAY,,EVENDALE,OH,45215,OH,1 NEUMANN WAY,,EVENDALE,OH,45215,OH
0001413329,Philip Morris International Inc.,operating,2111,Cigarettes,04 Manufacturing,0,1,PM,NYSE,133435103,,,,Large accelerated filer,1231,VA,VA,203-905-2410,,"677 WASHINGTON BLVD, STE. 1100",,STAMFORD,CT,06901,CT,"677 WASHINGTON BLVD, STE. 1100",,STAMFORD,CT,06901,CT
0000896878,INTUIT INC.,operating,7372,Services-Prepackaged Software,06 Technology,0,1,INTU,Nasdaq,770034661,,,,Large accelerated filer,0731,DE,DE,650-944-6000,,P.O. BOX 7850,,MOUNTAIN VIEW,CA,94039-7850,CA,2700 COAST AVENUE,,MOUNTAIN VIEW,CA,94043,CA
0000097476,TEXAS INSTRUMENTS INC,operating,3674,Semiconductors & Related Devices,04 Manufacturing,0,1,TXN,Nasdaq,750289970,,,,Large accelerated filer,1231,DE,DE,9729953773,,12500 TI BLVD,PO BOX 660199,DALLAS,TX,75266,TX,P.O. BOX 660199,,DALLAS,TX,75266,TX
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,operating,3570,Computer & office Equipment,06 Technology,1,1,IBM,NYSE,130871985,,,,Large accelerated filer,1231,NY,NY,9144991900,,1 NEW ORCHARD RD,,ARMONK,NY,10504,NY,1 NEW ORCHARD ROAD,,ARMONK,NY,10504,NY
0000004962,AMERICAN EXPRESS CO,operating,6199,Finance Services,02 Finance,1,1,AXP,NYSE,134922250,,,,Large accelerated filer,1231,NY,NY,2126402000,,200 VESEY STREET,50TH FLOOR,NEW YORK,NY,10285,NY,200 VESEY STREET,50TH FLOOR,NEW YORK,NY,10285,NY
0000318154,AMGEN INC,operating,2836,"Biological Products, (No Diagnostic Substances)",03 Life Sciences,1,1,AMGN,Nasdaq,953540776,,,,Large accelerated filer,1231,DE,DE,(805)447-1000,,ONE AMGEN CENTER DRIVE,,THOUSAND OAKS,CA,91320,CA,ONE AMGEN CENTER DRIVE,,THOUSAND OAKS,CA,91320,CA
0000006951,APPLIED MATERIALS INC /DE,operating,3674,Semiconductors & Related Devices,04 Manufacturing,1,1,AMAT,Nasdaq,941655526,,,,Large accelerated filer,1027,DC,DC,4085635300,,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA
0001373715,"ServiceNow, Inc.",operating,7372,Services-Prepackaged Software,06 Technology,0,1,NOW,NYSE,202056195,,,,Large accelerated filer,1231,,,408-501-8550,,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA
0000732712,VERIZON COMMUNICATIONS INC,operating,4813,Telephone Communications (No Radiotelephone),06 Technology,1,1,VZ,NYSE,232259884,,,,Large accelerated filer,1231,DE,DE,212-395-1000,,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY
0001035267,INTUITIVE SURGICAL INC,operating,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",08 Industrial Applications and Services,0,1,ISRG,Nasdaq,770416458,,,,Large accelerated filer,1231,DE,DE,4085232100,,1020 KIFER ROAD,,SUNNYVALE,CA,94086,CA,1020 KIFER ROAD,,SUNNYVALE,CA,94086,CA
0000018230,CATERPILLAR INC,operating,3531,Construction Machinery & Equip,06 Technology,1,1,CAT,NYSE,370602744,,,,Large accelerated filer,1231,DE,DE,9728917700,,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX
0001393818,Blackstone Inc.,operating,6282,Investment Advice,02 Finance,1,1,BX,NYSE,000000000,,,,Large accelerated filer,1231,DE,DE,(212) 583-5000,,345 PARK AVENUE,,NEW YORK,NY,10154,NY,345 PARK AVENUE,,NEW YORK,NY,10154,NY
0000895421,MORGAN STANLEY,operating,6211,"Security Brokers, Dealers & Flotation Companies",02 Finance,1,1,"MS,MS-PA,MS-PK,MS-PI,MS-PF,MS-PE,MS-PL,MS-PO,MS-PP,MS-PQ,MSTLW","NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,OTC",363145972,,,,Large accelerated filer,1231,DE,DE,212-761-4000,,1585 BROADWAY,,NEW YORK,NY,10036,NY,1585 BROADWAY,,NEW YORK,NY,10036,NY
0001744489,Walt Disney Co,operating,7990,Services-Miscellaneous Amusement & Recreation,07 Trade & Services,1,1,DIS,NYSE,830940635,,,,Large accelerated filer,0928,DE,DE,(818) 560-1000,,500 SOUTH BUENA VISTA STREET,,BURBANK,CA,91521,CA,500 SOUTH BUENA VISTA STREET,,BURBANK,CA,91521,CA
0000753308,NEXTERA ENERGY INC,operating,4911,Electric Services,01 Energy & Transportation,1,1,"NEE,NEE-PN,NEE-PR,NEE-PS","NYSE,NYSE,NYSE,NYSE",592449419,,,,Large accelerated filer,1231,FL,FL,561-694-4697,,P O BOX 14000,,JUNO BEACH,FL,33408,FL,700 UNIVERSE BLVD,,JUNO BEACH,FL,33408,FL
0000078003,PFIZER INC,operating,2834,Pharmaceutical Preparations,03 Life Sciences,1,1,PFE,NYSE,135315170,,,,Large accelerated filer,1231,DE,DE,2127332323,,66 HUDSON BOULEVARD EAST,,NEW YORK,NY,10001-2192,NY,66 HUDSON BOULEVARD EAST,,NEW YORK,NY,10001-2192,NY
0000886982,GOLDMAN SACHS GROUP INC,operating,6211,"Security Brokers, Dealers & Flotation Companies",02 Finance,1,1,"GS,GS-PA,GS-PD,GS-PC,GSCE","NYSE,NYSE,NYSE,NYSE,OTC",134019460,,,,Large accelerated filer,1231,DE,DE,212-902-1000,,200 WEST STREET,,NEW YORK,NY,10282,NY,200 WEST STREET,,NEW YORK,NY,10282,NY
0001000275,ROYAL BANK OF CANADA,other,6029,"Commercial Banks, NEC",02 Finance,1,0,"RY,RBCPF,RBMCF,RYLBF","NYSE,OTC,OTC,OTC",135357855,,,,,1031,A6,"Ontario, Canada",212-437-9267,,ROYAL BANK PLAZA,200 BAY STREET,TORONTO,A6,M5J2J5,"Ontario, Canada",ROYAL BANK PLAZA,200 BAY STREET,TORONTO,A6,M5J2J5,"Ontario, Canada"
0000879764,TotalEnergies SE,other,1311,Crude Petroleum & Natural Gas,01 Energy & Transportation,1,0,"TTE,TTFNF","NYSE,OTC",,,,,Large accelerated filer,1231,I0,France,33 (0)1 41 35 04 48,,2 PLACE JEAN MILLIER,ARCHE NORD COUPOLE/REGNAULT,PARIS LA DEFENSE CEDEX,I0,92078,France,2 PLACE JEAN MILLIER,LA DEFENSE 6,COURBEVOIE,I0,92400,France
0001089113,HSBC HOLDINGS PLC,other,6035,"Savings Institution, Federally Chartered",02 Finance,1,0,"HSBC,HBCYF","NYSE,OTC",000000000,,,,Large accelerated filer,1231,,,442079913048,,8 CANADA SQUARE,,LONDON,X0,E14 5HQ,United Kingdom,8 CANADA SQUARE,,LONDON,X0,E145HQ,United Kingdom
0000101829,RTX Corp,operating,3724,Aircraft Engines & Engine Parts,04 Manufacturing,1,1,RTX,NYSE,060570975,,,,Large accelerated filer,1231,DE,DE,781-522-3000,,1000 WILSON BLVD,,ARLINGTON,VA,22209,VA,1000 WILSON BLVD,,ARLINGTON,VA,22209,VA
