name,cik,start_date,business_city,business_stateOrCountry,business_stateOrCountryDescription,business_street1,business_street2,business_zipCode,category,description,ein,entityType,exchanges,fiscalYearEnd,flags,insiderTransactionForIssuerExists,insiderTransactionForOwnerExists,mailing_city,mailing_stateOrCountry,mailing_stateOrCountryDescription,mailing_street1,mailing_street2,mailing_zipCode,ownerOrg,phone,sic,sicDescription,stateOfIncorporation,stateOfIncorporationDescription,tickers
ALEXANDERS INC,0000003499,1994-03-23,PARAMUS,NJ,NJ,210 ROUTE 4 EAST,,07652,Accelerated filer,,510100517,operating,['NYSE'],1231,,1,0,PARAMUS,NJ,NJ,210 ROUTE 4 EAST,,07652,05 Real Estate & Construction,201-587-8541,6798,Real Estate Investment Trusts,DE,DE,['ALX']
"ARROW ELECTRONICS, INC.",0000007536,1994-03-30,CENTENNIAL,CO,CO,9151 EAST PANORAMA CIRCLE,,80112,Large accelerated filer,,111806155,operating,['NYSE'],1231,,1,0,CENTENNIAL,CO,CO,9151 EAST PANORAMA CIRCLE,,80112,07 Trade & Services,303-824-4000,5065,"Wholesale-Electronic Parts & Equipment, NEC",NY,NY,['ARW']
"Matson, Inc.",0000003453,1994-11-15,HONOLULU,HI,HI,1411 SAND ISLAND PARKWAY,,96819,Large accelerated filer,,990032630,operating,['NYSE'],1231,,1,0,HONOLULU,HI,HI,1411 SAND ISLAND PARKWAY,,96819,01 Energy & Transportation,808-848-1211,4400,Water Transportation,HI,HI,['MATX']
"ALICO, INC.",0000003545,1994-02-14,"FT. MYERS,",FL,FL,10070 DANIELS INTERSTATE COURT STE. 100,,33913,Non-accelerated filer<br>Smaller reporting company,,590906081,operating,['Nasdaq'],0930,,1,1,"FT. MYERS,",FL,FL,10070 DANIELS INTERSTATE COURT STE. 100,,33913,08 Industrial Applications and Services,239-226-2000,0100,Agricultural Production-Crops,FL,FL,['ALCO']
"APOGEE ENTERPRISES, INC.",0000006845,1994-01-11,MINNEAPOLIS,MN,MN,4400 WEST 78TH STREET,SUITE 520,55435,Large accelerated filer,,410919654,operating,['Nasdaq'],0301,,1,0,MINNEAPOLIS,MN,MN,4400 WEST 78TH STREET,SUITE 520,55435,04 Manufacturing,6128351874,3231,"Glass Products, Made of  Purchased Glass",MN,MN,['APOG']
"Cheniere Energy, Inc.",0000003570,1996-07-15,HOUSTON,TX,TX,845 TEXAS AVENUE,SUITE 1250,77002,Large accelerated filer,,954352386,operating,['NYSE'],1231,,1,1,HOUSTON,TX,TX,845 TEXAS AVENUE,SUITE 1250,77002,01 Energy & Transportation,7133755000,4924,Natural Gas Distribution,DE,DE,['LNG']
ASTRONICS CORP,0000008063,1995-03-22,EAST AURORA,NY,NY,130 COMMERCE WAY,-,14052-2164,Accelerated filer,,160959303,operating,"['Nasdaq', 'OTC']",1231,,1,0,EAST AURORA,NY,NY,130 COMMERCE WAY,-,14052-2164,04 Manufacturing,716-805-1599,3728,"Aircraft Parts & Auxiliary Equipment, NEC",NY,NY,"['ATRO', 'ATROB']"
ASSOCIATED BANC-CORP,0000007789,1995-05-15,GREEN BAY,WI,WI,433 MAIN STREET,,54301,Large accelerated filer,,391098068,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",1231,,1,1,GREEN BAY,WI,WI,433 MAIN STREET,,54301,02 Finance,920-491-7500,6022,State Commercial Banks,WI,WI,"['ASB', 'ASB-PE', 'ASBA', 'ASB-PF']"
"SKYWORKS SOLUTIONS, INC.",0000004127,1995-02-08,IRVINE,CA,CA,5260 CALIFORNIA AVENUE,,92617,Large accelerated filer,,042302115,operating,['Nasdaq'],1003,,1,1,IRVINE,CA,CA,5260 CALIFORNIA AVENUE,,92617,04 Manufacturing,9492313000,3674,Semiconductors & Related Devices,DE,DE,['SWKS']
AMERICAN VANGUARD CORP,0000005981,1995-05-15,NEWPORT BEACH,CA,CA,4695 MACARTHUR COURT,,92660,Accelerated filer,,952588080,operating,['NYSE'],1231,,1,0,NEWPORT BEACH,CA,CA,4695 MACARTHUR COURT,,92660,08 Industrial Applications and Services,949-260-1200,2870,Agricultural Chemicals,DE,DE,['AVD']
Howmet Aerospace Inc.,0000004281,1994-02-08,PITTSBURGH,PA,PA,201 ISABELLA STREET,SUITE 200,15212-5872,Large accelerated filer,,250317820,operating,"['NYSE', 'NYSE']",1231,,1,1,PITTSBURGH,PA,PA,201 ISABELLA STREET,,15212-5872,04 Manufacturing,(412) 553-1940,3350,Rolling Drawing & Extruding of  Nonferrous Metals,DE,DE,"['HWM', 'HWM-P']"
APPLIED MATERIALS INC /DE,0000006951,1994-01-06,SANTA CLARA,CA,CA,3050 BOWERS AVE,,95054-3299,Large accelerated filer,,941655526,operating,['Nasdaq'],1026,,1,1,SANTA CLARA,CA,CA,3050 BOWERS AVE,,95054-3299,04 Manufacturing,4085635300,3674,Semiconductors & Related Devices,DC,DC,['AMAT']
HESS CORP,0000004447,1994-05-12,NEW YORK,NY,NY,1185 AVENUE OF THE AMERICAS,,10036,Large accelerated filer,,134921002,operating,['NYSE'],1231,,1,1,NEW YORK,NY,NY,1185 AVENUE OF THE AMERICAS,,10036,01 Energy & Transportation,2129978500,2911,Petroleum Refining,DE,DE,['HES']
AMERICAN ELECTRIC POWER CO INC,0000004904,1994-05-16,COLUMBUS,OH,OH,1 RIVERSIDE PLAZA,,43215,Large accelerated filer,,134922640,operating,['Nasdaq'],1231,,1,0,COLUMBUS,OH,OH,1 RIVERSIDE PLAZA,,43215,01 Energy & Transportation,614-716-1000,4911,Electric Services,NY,NY,['AEP']
ATLANTIC AMERICAN CORP,0000008177,1995-11-13,ATLANTA,GA,GA,4370 PEACHTREE RD NE,,30319,Non-accelerated filer<br>Smaller reporting company,,581027114,operating,['Nasdaq'],1231,,1,1,ATLANTA,GA,GA,4370 PEACHTREE ROAD,,30319,02 Finance,4042665500,6311,Life Insurance,GA,GA,['AAME']
"AstroNova, Inc.",0000008146,1995-04-10,WEST WARWICK,RI,RI,600 E GREENWICH AVENUE,,02893,Accelerated filer<br>Smaller reporting company,,050318215,operating,['Nasdaq'],0131,,1,0,WEST WARWICK,RI,RI,600 E GREENWICH AVENUE,,02893,06 Technology,4018284000,3577,"Computer Peripheral Equipment, NEC",RI,RI,['ALOT']
AMERICAN EXPRESS CO,0000004962,1994-01-25,NEW YORK,NY,NY,200 VESEY STREET,50TH FLOOR,10285,Large accelerated filer,,134922250,operating,['NYSE'],1231,,1,1,NEW YORK,NY,NY,200 VESEY STREET,50TH FLOOR,10285,02 Finance,2126402000,6199,Finance Services,NY,NY,['AXP']
AFLAC INC,0000004977,1994-03-14,COLUMBUS,GA,GA,1932 WYNNTON RD,,31999,Large accelerated filer,,581167100,operating,['NYSE'],1231,,1,0,COLUMBUS,GA,GA,1932 WYNNTON ROAD,,31999,02 Finance,7063233431,6321,Accident & Health Insurance,GA,GA,['AFL']
AUTOMATIC DATA PROCESSING INC,0000008670,1994-01-21,ROSELAND,NJ,NJ,ONE ADP BOULVARD,,07068,Large accelerated filer,,221467904,operating,['Nasdaq'],0630,,1,1,ROSELAND,NJ,NJ,ONE ADP BOULEVARD,,07068,06 Technology,9739745000,7374,Services-Computer Processing & Data Preparation,DE,DE,['ADP']
Invesco Bond Fund,0000005094,1995-02-28,ATLANTA,GA,GA,1331 SPRING STREET N.W.,SUITE 2500,30309,,,520906083,other,['NYSE'],0630,,1,0,ATLANTA,GA,GA,1331 SPRING STREET N.W.,SUITE 2500,30309,,404-439-3217,,,DE,DE,['VBF']
NSTAR ELECTRIC CO,0000013372,1994-08-12,BOSTON,MA,MA,800 BOYLSTON ST,P1600,02199,,,041278810,operating,"['OTC', 'OTC']",1231,,0,0,BOSTON,MA,MA,800 BOYLSTON ST,P1600,02199,01 Energy & Transportation,6174242000,4911,Electric Services,MA,MA,"['NSARO', 'NSARP']"
AVNET INC,0000008858,1994-01-06,PHOENIX,AZ,AZ,2211 SOUTH 47TH STREET,,85034,Large accelerated filer,,111890605,operating,['Nasdaq'],0628,,1,0,PHOENIX,AZ,AZ,2211 SOUTH 47TH STREET,,85034,07 Trade & Services,4806432000,5065,"Wholesale-Electronic Parts & Equipment, NEC",NY,NY,['AVT']
CALERES INC,0000014707,1994-09-01,ST LOUIS,MO,MO,8300 MARYLAND AVE,P O BOX 29,63105,Large accelerated filer,,430197190,operating,['NYSE'],0201,,1,0,ST LOUIS,MO,MO,P O BOX 29,,63166,04 Manufacturing,3148544000,3140,"Footwear, (No Rubber)",NY,NY,['CAL']
AZZ INC,0000008947,1994-02-14,FORT WORTH,TX,TX,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,76107,Large accelerated filer,,750948250,operating,['NYSE'],0228,,1,1,FORT WORTH,TX,TX,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,76107,04 Manufacturing,8178100095,3470,"Coating, Engraving & Allied Services",TX,TX,['AZZ']
BRT Apartments Corp.,0000014846,2017-02-06,GREAT NECK,NY,NY,60 CUTTER MILL RD,SUITE 303,11021-3190,Non-accelerated filer<br>Smaller reporting company,,132755856,operating,['NYSE'],1231,,1,0,GREAT NECK,NY,NY,60 CUTTER MILL ROAD,SUITE 303,11021,05 Real Estate & Construction,5164663100,6798,Real Estate Investment Trusts,NY,NY,['BRT']
BADGER METER INC,0000009092,1994-02-09,MILWAUKEE,WI,WI,4545 WEST BROWN DEER ROAD,,53223,Large accelerated filer,,390143280,operating,['NYSE'],1231,,1,0,MILWAUKEE,WI,WI,4545 W BROWN DEER RD,,53223,08 Industrial Applications and Services,4143715702,3824,Totalizing Fluid Meters & Counting Devices,WI,WI,['BMI']
BALCHEM CORP,0000009326,1995-08-11,MONTVALE,NJ,NJ,5 PARAGON DRIVE,,07645,Large accelerated filer,,132578432,operating,['Nasdaq'],1231,,1,0,MONTVALE,NJ,NJ,5 PARAGON DRIVE,,07645,08 Industrial Applications and Services,(845) 326-5600,2800,Chemicals & Allied Products,MD,MD,['BCPC']
BRUNSWICK CORP,0000014930,1994-02-28,METTAWA,IL,IL,26125 N. RIVERWOODS BLVD. SUITE 500,,60045-3420,Large accelerated filer,,360848180,operating,"['NYSE', 'NYSE', 'NYSE']",1231,,1,1,METTAWA,IL,IL,26125 N. RIVERWOODS BLVD. SUITE 500,,60045-3420,06 Technology,8477354700,3510,Engines & Turbines,DE,DE,"['BC', 'BC-PA', 'BC-PC']"
BALL Corp,0000009389,1994-01-27,WESTMINSTER,CO,CO,9200 W. 108TH CIRCLE,,80021,Large accelerated filer,,350160610,operating,['NYSE'],1231,,1,0,WESTMINSTER,CO,CO,9200 W. 108TH CIRCLE,,80021,04 Manufacturing,3034695511,3411,Metal Cans,IN,IN,['BALL']
BANCROFT FUND LTD,0000009521,1995-12-29,MORRISTOWN,NJ,NJ,65 MADISON AVENUE,SUITE 550,07960,,,042476994,other,"['NYSE', 'NYSE']",1031,,1,0,MORRISTOWN,NJ,NJ,65 MADISON AVENUE,SUITE 550,07960,,(973) 631-1177,,,DE,DE,"['BCV', 'BCV-PA']"
BUTLER NATIONAL CORP,0000015847,1995-10-13,NEW CENTURY,KS,KS,ONE AERO PLAZA,,66031,Non-accelerated filer<br>Smaller reporting company,,410834293,operating,['OTC'],0430,,1,0,NEW CENTURY,KS,KS,ONE AERO PLAZA,,66031,07 Trade & Services,9137809595,7990,Services-Miscellaneous Amusement & Recreation,DE,DE,['BUKS']
BOEING CO,0000012927,1994-03-15,ARLINGTON,VA,VA,929 LONG BRIDGE DRIVE,,22202,Large accelerated filer,,910425694,operating,"['NYSE', 'NYSE']",1231,,1,1,ARLINGTON,VA,VA,929 LONG BRIDGE DRIVE,,22202,04 Manufacturing,7034146338,3721,Aircraft,DE,DE,"['BA', 'BA-PA']"
BANK OF NOVA SCOTIA,0000009631,2000-11-08,TORONTO,A6,"Ontario, Canada",40 TEMPERANCE STREET,,M5H 0B4,,,134941099,operating,['NYSE'],1031,,0,1,TORONTO,A6,"Ontario, Canada",40 TEMPERANCE STREET,,M5H 0B4,02 Finance,(416) 866-3672,6022,State Commercial Banks,Z4,Canada (Federal Level),['BNS']
BRIDGFORD FOODS CORP,0000014177,1995-03-10,ANAHEIM,CA,CA,1308 N PATT ST,P O BOX 3773,92801,Non-accelerated filer<br>Smaller reporting company,,951778176,operating,['Nasdaq'],1031,,1,0,TEXAS,TX,TX,1707 SOUTH GOOD-LATIMER EXPRESSWAY,DALLAS,75226,04 Manufacturing,7145265533,2013,Sausages & Other Prepared Meat Products,CA,CA,['BRID']
CACI INTERNATIONAL INC /DE/,0000016058,1994-09-26,RESTON,VA,VA,TWO RESTON OVERLOOK,12021 SUNSET HILLS ROAD,20190,Large accelerated filer,,541345888,operating,['NYSE'],0630,,1,1,RESTON,VA,VA,TWO RESTON OVERLOOK,12021 SUNSET HILLS ROAD,20190,06 Technology,7038417800,7373,Services-Computer Integrated Systems Design,DE,DE,['CACI']
MASTEC INC,0000015615,1994-01-20,CORAL GABLES,FL,FL,800 S. DOUGLAS ROAD,12TH FLOOR,33134,Large accelerated filer,,650829355,operating,['NYSE'],1231,,1,1,CORAL GABLES,FL,FL,800 S. DOUGLAS ROAD,12TH FLOOR,33134,05 Real Estate & Construction,3055991800,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction",FL,FL,['MTZ']
CABOT CORP,0000016040,1994-07-22,BOSTON,MA,MA,TWO SEAPORT LANE SUITE 1400,,02210,Large accelerated filer,,042271897,operating,['NYSE'],0930,,1,0,BOSTON,MA,MA,TWO SEAPORT LANE SUITE 1400,,02210,08 Industrial Applications and Services,6173450100,2890,Miscellaneous Chemical Products,DE,DE,['CBT']
BARNWELL INDUSTRIES INC,0000010048,1995-05-12,HONOLULU,HI,HI,1100 ALAKEA ST.,SUITE 500,96813,Non-accelerated filer<br>Smaller reporting company,,720496921,operating,['NYSE'],0930,,1,0,HONOLULU,HI,HI,1100 ALAKEA ST.,SUITE 500,96813,01 Energy & Transportation,808-531-8400,1311,Crude Petroleum & Natural Gas,DE,DE,['BRN']
CAL-MAINE FOODS INC,0000016160,1996-12-03,RIDGELAND,MS,MS,1052 HIGHLAND COLONY PKWY,SUITE 200,39157,Large accelerated filer,,640500378,operating,['Nasdaq'],0531,,1,0,RIDGELAND,MS,MS,1052 HIGHLAND COLONY PKWY,SUITE 200,39157,08 Industrial Applications and Services,6019486813,0200,Agricultural Prod-Livestock & Animal Specialties,DE,DE,['CALM']
BRISTOL MYERS SQUIBB CO,0000014272,1994-03-15,PRINCETON,NJ,NJ,ROUTE 206 AND PROVINCE LINE ROAD,,08543,Large accelerated filer,,220790350,operating,"['NYSE', 'OTC', 'NYSE']",1231,,1,1,PRINCETON,NJ,NJ,ROUTE 206 AND PROVINCE LINE ROAD,,08543,03 Life Sciences,6092524621,2834,Pharmaceutical Preparations,DE,DE,"['BMY', 'BMYMP', 'CELG-RI']"
BASSETT FURNITURE INDUSTRIES INC,0000010329,1995-01-06,BASSETT,VA,VA,PO BOX 626,,24055,Accelerated filer<br>Smaller reporting company,,540135270,operating,['Nasdaq'],1129,,1,0,BASSETT,VA,VA,MAIN ST,P O BOX 626,24055,04 Manufacturing,5406296209,2511,"Wood Household Furniture, (No Upholstered)",VA,VA,['BSET']
BAXTER INTERNATIONAL INC,0000010456,1994-03-21,DEERFIELD,IL,IL,ONE BAXTER PARKWAY,,60015,Large accelerated filer,,360781620,operating,['NYSE'],1231,,1,1,DEERFIELD,IL,IL,ONE BAXTER PARKWAY,,60015,08 Industrial Applications and Services,2249482000,3841,Surgical & Medical Instruments & Apparatus,DE,DE,['BAX']
"Galaxy Gaming, Inc.",0000013156,2000-05-18,LAS VEGAS,NV,NV,6480 CAMERON STREET,SUITE 305,89118,Non-accelerated filer<br>Smaller reporting company,,208143439,operating,['OTC'],1231,,1,1,LAS VEGAS,NV,NV,6480 CAMERON STREET,SUITE 305,89118,07 Trade & Services,702-939-3254,7900,Services-Amusement & Recreation Services,,,['GLXZ']
CAMPBELL'S Co,0000016732,1994-12-14,CAMDEN,NJ,NJ,CAMPBELL PL,,08103,Large accelerated filer,,210419870,operating,['Nasdaq'],0803,,1,1,CAMDEN,NJ,NJ,CAMPBELL PL,,08103,04 Manufacturing,8563424800,2000,Food and Kindred Products,NJ,NJ,['CPB']
CANADIAN PACIFIC KANSAS CITY LTD/CN,0000016875,2000-11-08,CALGARY ALBERTA,A0,"Alberta, Canada",7550 OGDEN DALE ROAD S.E.,,T2C 4X9,Large accelerated filer,,980355078,operating,['NYSE'],1231,,1,0,CALGARY ALBERTA,A0,"Alberta, Canada",7550 OGDEN DALE ROAD S.E.,,T2C 4X9,01 Energy & Transportation,403-319-3591,4011,"Railroads, Line-Haul Operating",Z4,Canada (Federal Level),['CP']
CANADIAN NATIONAL RAILWAY CO,0000016868,1997-02-10,CANADA,A8,"Quebec, Canada",935 DE LA GAUCHETIERE ST W,MONTREAL QUEBEC,H3B 2M9,Large Accelerated,,980018609,operating,['NYSE'],1231,,0,0,CANADA H3B 2M9,A8,"Quebec, Canada",935 DE LA GAUCHETIERE ST WEST,MONTREAL QUEBEC,00000,01 Energy & Transportation,5143996569,4011,"Railroads, Line-Haul Operating",A8,"Quebec, Canada",['CNI']
Scully Royalty Ltd.,0000016859,1996-12-24,"CHANGNING DISTRICT, SHANGHAI",F4,China,ROOM 2103 SHANGHAI MART TOWER,2299 YAN AN ROAD WEST,200336,Non-accelerated filer,,131818111,other,['NYSE'],1231,,1,1,"CHANGNING DISTRICT, SHANGHAI",F4,China,ROOM 2103 SHANGHAI MART TOWER,2299 YAN AN ROAD WEST,200336,01 Energy & Transportation,(844) 331-3343,6795,Mineral Royalty Traders,A1,"British Columbia, Canada",['SRL']
BROWN FORMAN CORP,0000014693,1994-01-13,LOUISVILLE,KY,KY,850 DIXIE HWY,,40210,Large accelerated filer,,610143150,operating,"['NYSE', 'NYSE']",0430,,1,1,LOUISVILLE,KY,KY,850 DIXIE HIGHWAY,,40210,04 Manufacturing,5025851100,2080,Beverages,DE,DE,"['BF-A', 'BF-B']"
BERKLEY W R CORP,0000011544,1994-01-27,GREENWICH,CT,CT,475 STEAMBOAT ROAD,.,06830,Large accelerated filer,,221867895,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",1231,,1,1,GREENWICH,CT,CT,475 STEAMBOAT ROAD,.,06830,02 Finance,2036293000,6331,"Fire, Marine & Casualty Insurance",DE,DE,"['WRB', 'WRB-PE', 'WRB-PF', 'WRB-PG', 'WRB-PH']"
