"form","count","description","example_filing_url","example_primary_doc_url"
"10-K","223886","Annual report.  It provides a comprehensive overview of the company's business and financial performance.","https://www.sec.gov/Archives/edgar/data/1603345/000147793224005401/0001477932-24-005401-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1603345/000147793224005401/agtx_10k.htm"
"485BPOS","201714","Post-effective amendment for management investment companies. Used to make changes to a registration statement after it has become effective.","https://www.sec.gov/Archives/edgar/data/1579881/000110465924095310/0001104659-24-095310-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1579881/000110465924095310/tm2419349d4_485bpos.htm"
"24F-2NT","196224","Annual notice of securities sold pursuant to Rule 24f-2. Filed by certain investment companies that qualify for an exemption from registration fees.","https://www.sec.gov/Archives/edgar/data/1540305/000089418924005192/0000894189-24-005192-index.html","https://www.sec.gov/Archives/edgar/data/1540305/000089418924005192/xsl24F-2NT/primary_doc.xml"
"DEF 14A","195883","Definitive proxy statement. Provides shareholders with information necessary to vote on matters presented at a shareholder meeting.","https://www.sec.gov/Archives/edgar/data/842717/000119312524210375/0001193125-24-210375-index.html","https://www.sec.gov/Archives/edgar/data/842717/000119312524210375/d530217ddef14a.htm"
"424B5","143473","Prospectus. A type of prospectus filed as part of a registration statement or to update existing information.","https://www.sec.gov/Archives/edgar/data/1760001/000110465924095516/0001104659-24-095516-index.html","https://www.sec.gov/Archives/edgar/data/353184/000110465924095516/tm2423095d1_424b5.htm"
"497J","142218","Prospectus for an open-end management investment company. This prospectus is filed when these companies offer their shares to the public.","https://www.sec.gov/Archives/edgar/data/1027596/000089418924005363/0000894189-24-005363-index.html","https://www.sec.gov/Archives/edgar/data/1027596/000089418924005363/loganetf497j8-2024.htm"
"EFFECT","136789","Indicates the date on which a filing with the SEC becomes effective.","https://www.sec.gov/Archives/edgar/data/1842566/999999999524002686/9999999995-24-002686-index.html","https://www.sec.gov/Archives/edgar/data/1842566/999999999524002686/xslEFFECTX01/primary_doc.xml"
"425","130236","Filing under Securities Act Rules 16b-3(b), 14d-2(b) or 14e-2(d). Used for communications related to tender offers and going-private transactions.","https://www.sec.gov/Archives/edgar/data/1210677/000095017024102060/0000950170-24-102060-index.html","https://www.sec.gov/Archives/edgar/data/1210677/000095017024102060/equity_election_overview.htm"
"DEFA14A","127874","Additional definitive proxy statement. May be used to provide supplemental information or correct errors in a previously filed DEF 14A.","https://www.sec.gov/Archives/edgar/data/707800/000158064224005049/0001580642-24-005049-index.html","https://www.sec.gov/Archives/edgar/data/707800/000158064224005049/aquilafundstrust_n-14a.htm"
"REGDEX","126756","Regulation D. This regulation provides exemptions from registration for certain securities offerings.","https://www.sec.gov/Archives/edgar/data/1460791/999999999709015276/9999999997-09-015276-index.html","https://www.sec.gov/Archives/edgar/data/1460791/999999999709015276/9999999997-09-015276.paper"
"SC 13D","120196","Beneficial ownership report.  Investors use this to report when they acquire more than 5% of a company's voting stock..","https://www.sec.gov/Archives/edgar/data/1918767/000091957424005287/0000919574-24-005287-index.html","https://www.sec.gov/Archives/edgar/data/1523591/000091957424005287/d11455506_13d.htm"
"10QSB","120116","Quarterly report for smaller reporting companies. Smaller companies have reduced reporting requirements compared to larger companies.","https://www.sec.gov/Archives/edgar/data/42050/000114090508000177/0001140905-08-000177-index.html","https://www.sec.gov/Archives/edgar/data/42050/000114090508000177/wsrm0907q.htm"
"10-D","119356","General form for filing reports.  Used by asset-backed issuers.","https://www.sec.gov/Archives/edgar/data/1781089/000162829724000586/0001628297-24-000586-index.html","https://www.sec.gov/Archives/edgar/data/1781089/000162829724000586/Form10DCCMT19BB12.htm"
"13F-NT","117672","Notice of inability to file Form 13F on time.  Institutional investment managers file this.","https://www.sec.gov/Archives/edgar/data/2035675/000203567524000001/0002035675-24-000001-index.html","https://www.sec.gov/Archives/edgar/data/2035675/000203567524000001/xslForm13F_X02/primary_doc.xml"
"144","114127","Notice of proposed sale of securities. Filed by affiliates of a company or holders of restricted securities.","https://www.sec.gov/Archives/edgar/data/1991075/000195004724006650/0001950047-24-006650-index.html","https://www.sec.gov/Archives/edgar/data/1835856/000195004724006650/xsl144X01/primary_doc.xml"
"S-4/A","106573","Amendment to a registration statement for securities issued in a business combination transaction. Filed to make changes to a previously filed Form S-4.","https://www.sec.gov/Archives/edgar/data/1862463/000121390024074596/0001213900-24-074596-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1862463/000121390024074596/ea0207469-06.htm"
"X-17A-5","98586","Report for brokers and dealers.  It covers the broker-dealer's financial condition.","https://www.sec.gov/Archives/edgar/data/1482025/000148202524000003/0001482025-24-000003-index.html","https://www.sec.gov/Archives/edgar/data/1482025/000148202524000003/xslX-17A-5_X01/primary_doc.xml"
"N-Q","95003","Quarterly report for investment companies. This report provides information about the fund's performance, holdings, and expenses.","https://www.sec.gov/Archives/edgar/data/792394/000079239421000009/0000792394-21-000009-index.html","https://www.sec.gov/Archives/edgar/data/792394/000079239421000009/edgarfirstq2021.htm"
"S-8","93299","Registration statement for securities offered to employees. Used for employee stock purchase plans and other employee benefit plans.","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211143/0001193125-24-211143-index.html","https://www.sec.gov/Archives/edgar/data/1577437/000119312524211143/d889836ds8.htm"
"S-4","90666","Registration of securities issued in business combination transactions. Used for mergers, acquisitions, consolidations, and similar transactions.","https://www.sec.gov/Archives/edgar/data/715072/000119312524210469/0001193125-24-210469-index.html","https://www.sec.gov/Archives/edgar/data/715072/000119312524210469/d877450ds4.htm"
"8-K/A","83229","Amendment to a current report. Filed to correct or update information from a previously filed Form 8-K.","https://www.sec.gov/Archives/edgar/data/1828805/000121390024074054/0001213900-24-074054-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1828805/000121390024074054/ea021294101-8ka_aeluma.htm"
"NT 10-Q","77998","Notice of late filing of a quarterly report. Filed when a company is unable to file its Form 10-Q on time.","https://www.sec.gov/Archives/edgar/data/1859807/000121390024071932/0001213900-24-071932-index.html","https://www.sec.gov/Archives/edgar/data/1859807/000121390024071932/ea0212188-nt10q_northview.htm"
"N-30D","76294","Annual shareholder report. Provided by mutual funds to their shareholders.","https://www.sec.gov/Archives/edgar/data/24924/000120677424000835/0001206774-24-000835-index.html","https://www.sec.gov/Archives/edgar/data/24924/000120677424000835/lexcx4370971-n30d.htm"
"N-CSR","73644","Certified shareholder report of registered management investment companies. This report provides information about the fund's operations and performance.","https://www.sec.gov/Archives/edgar/data/1479599/000199937124011096/0001999371-24-011096-index.html","https://www.sec.gov/Archives/edgar/data/1479599/000199937124011096/agfetf-ncsr_063024.htm"
"NSAR-B","72651","Filed by registered management investment companies that are smaller reporting companies to file reports of proxy voting records.  ","https://www.sec.gov/Archives/edgar/data/1358656/000149315219002785/0001493152-19-002785-index.html","https://www.sec.gov/Archives/edgar/data/1358656/000149315219002785/part.fil"
"NSAR-A","72547","Filed by registered management investment companies, other than a smaller reporting company, to file reports of proxy voting records.","https://www.sec.gov/Archives/edgar/data/316762/000114036118045903/0001140361-18-045903-index.html","https://www.sec.gov/Archives/edgar/data/316762/000114036118045903/answer.fil"
"N-PX","68542","Annual report of proxy voting records for registered management investment companies. This report discloses how the fund voted on behalf of its shareholders.","https://www.sec.gov/Archives/edgar/data/1600133/000092189524002043/0000921895-24-002043-index.html","https://www.sec.gov/Archives/edgar/data/1600133/000092189524002043/xslN-PX_X01/primary_doc.xml"
"S-1/A","67195","Amendment to a registration statement.  Used to update or correct information provided in a previously filed Form S-1.","https://www.sec.gov/Archives/edgar/data/1920406/000121390024074537/0001213900-24-074537-index.html","https://www.sec.gov/Archives/edgar/data/1920406/000121390024074537/ea0212605-s1a1_asset.htm"
"N-CSRS","66311","Filed by registered management investment companies that are smaller reporting companies to file certified shareholder reports. ","https://www.sec.gov/Archives/edgar/data/814679/000119312524210956/0001193125-24-210956-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/814679/000119312524210956/d821227dncsrs.htm"
"40-17G","62982","Application for registration as a nationally recognized statistical rating organization (NRSRO).  ","https://www.sec.gov/Archives/edgar/data/1081400/000108140024000527/0001081400-24-000527-index.html","https://www.sec.gov/Archives/edgar/data/1081400/000108140024000527/fidelitybond.htm"
"S-3","56304","Registration statement for specified transactions by certain issuers. A simplified registration form that can be used by companies that meet certain requirements.","https://www.sec.gov/Archives/edgar/data/1860657/000121390024074515/0001213900-24-074515-index.html","https://www.sec.gov/Archives/edgar/data/1860657/000121390024074515/ea0212604-s3_allarity.htm"
"SUPPL","56246","Supplemental materials.  ","https://www.sec.gov/Archives/edgar/data/1711570/000149315224034390/0001493152-24-034390-index.html","https://www.sec.gov/Archives/edgar/data/1711570/000149315224034390/formsuppl.htm"
"S-3/A","48694","Amendment to a registration statement on Form S-3.  Used to update previously filed information.","https://www.sec.gov/Archives/edgar/data/1039828/000110465924093499/0001104659-24-093499-index.html","https://www.sec.gov/Archives/edgar/data/1039828/000110465924093499/tm2422482-1_s3a.htm"
"NT 10-K","46944","Notice of late filing of an annual report.  Companies will file this if they cannot file their 10-K on time.","https://www.sec.gov/Archives/edgar/data/1144879/000114487924000213/0001144879-24-000213-index.html","https://www.sec.gov/Archives/edgar/data/1144879/000114487924000213/apld-form10xkx12bx25ntdraf.htm"
"10-Q/A","46577","Amendment to a quarterly report.  Filed to correct errors in previously filed information.","https://www.sec.gov/Archives/edgar/data/1677576/000110465924095725/0001104659-24-095725-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1677576/000110465924095725/tm2422990d2_10qa.htm"
"10-K/A","46258","Amendment to an annual report.  Used to correct errors or provide updated information related to a company's Form 10-K filing.","https://www.sec.gov/Archives/edgar/data/1677576/000110465924095719/0001104659-24-095719-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/1677576/000110465924095719/tm2422990d1_10ka.htm"
"PRE 14A","46145","Preliminary proxy statement. This must be filed with the SEC for their review before a company can send a definitive proxy statement to shareholders.","https://www.sec.gov/Archives/edgar/data/1704287/000121390024074624/0001213900-24-074624-index.html","https://www.sec.gov/Archives/edgar/data/1704287/000121390024074624/ea0212810-01.htm"
"POS AM","45971","Post-effective amendment. This is a common filing for various forms and registrations, making updates or corrections after effectiveness.","https://www.sec.gov/Archives/edgar/data/1536196/000121390024074542/0001213900-24-074542-index.html","https://www.sec.gov/Archives/edgar/data/1536196/000121390024074542/ea0212361-posam_canfite.htm"
"3/A","44765","Amendment to initial statement of beneficial ownership of securities. This amends a previously filed Form 3.","https://www.sec.gov/Archives/edgar/data/924805/000092963824003042/0000929638-24-003042-index.html","https://www.sec.gov/Archives/edgar/data/924805/000092963824003042/xslF345X02/form3.xml"
"11-K","44056","Annual report of employee stock purchase, savings and similar plans. Filed by companies that offer these types of plans to their employees.","https://www.sec.gov/Archives/edgar/data/31667/000118518524000849/0001185185-24-000849-index.html","https://www.sec.gov/Archives/edgar/data/31667/000118518524000849/edc20240229_11k.htm"
"485APOS","43748","Post-effective amendment for unit investment trusts.  Filed after the initial registration statement is declared effective.","https://www.sec.gov/Archives/edgar/data/1771146/000199937124011114/0001999371-24-011114-index.html","https://www.sec.gov/Archives/edgar/data/1771146/000199937124011114/tuttle-485apos_082824.htm"
"ARS","42590","Annual report for employee benefit plans.  Filed for plans that hold assets for the benefit of employees, like 401(k) plans.","https://www.sec.gov/Archives/edgar/data/56701/000005670124000033/0000056701-24-000033-index.html","https://www.sec.gov/Archives/edgar/data/56701/000005670124000033/KossFY24FormARS10-KWrapFin.pdf"
"40-APP/A","42200","Amendment to an application for an order under the Investment Company Act.  ","https://www.sec.gov/Archives/edgar/data/1643958/000110465924095268/0001104659-24-095268-index.html","https://www.sec.gov/Archives/edgar/data/1064487/000110465924095268/tm2421882d1_40appa.htm"
"REGDEX/A","41947","Amendment to a Regulation D notice.  ","https://www.sec.gov/Archives/edgar/data/1043539/999999999709015265/9999999997-09-015265-index.html","https://www.sec.gov/Archives/edgar/data/1043539/999999999709015265/9999999997-09-015265.paper"
"N-MFP","41414","Monthly Schedule of Portfolio Holdings of Money Market Funds.   ","https://www.sec.gov/Archives/edgar/data/3794/000114554916012444/0001145549-16-012444-index.html","https://www.sec.gov/Archives/edgar/data/3794/000114554916012444/xslFormN-MFP_X01/primary_doc.xml"
"S-3ASR","41116","Automatic shelf registration statement of securities. Allows companies to offer and sell securities on a delayed or continuous basis.","https://www.sec.gov/Archives/edgar/data/37808/000119312524211101/0001193125-24-211101-index.html","https://www.sec.gov/Archives/edgar/data/37808/000119312524211101/d799989ds3asr.htm"
"S-8 POS","41054","Post-effective amendment for S-8. Relates to employee benefit plans and their securities offerings, often for stock options or similar.","https://www.sec.gov/Archives/edgar/data/814549/000119312524210849/0001193125-24-210849-index.html","https://www.sec.gov/Archives/edgar/data/814549/000119312524210849/d835887ds8pos.htm"
"ABS-EE","39903","Asset-Backed Securities.  Filed for offerings of asset-backed securities.","https://www.sec.gov/Archives/edgar/data/1781089/000162829724000587/0001628297-24-000587-index.html","https://www.sec.gov/Archives/edgar/data/1781089/000162829724000587/FormABSEECCMT19BB12.htm"
"10KSB","36911","Annual report for smaller reporting companies.  This version has a streamlined reporting process.","https://www.sec.gov/Archives/edgar/data/731727/000106299309000823/0001062993-09-000823-index.html","https://www.sec.gov/Archives/edgar/data/731727/000106299309000823/form10ksb.htm"
"N-MFP2","35836","Monthly Schedule of Portfolio Holdings of Money Market Funds.  ","https://www.sec.gov/Archives/edgar/data/862021/000114554924036128/0001145549-24-036128-index.html","https://www.sec.gov/Archives/edgar/data/862021/000114554924036128/xslN-MFP2_X01/primary_doc.xml"
"FOCUSN","32850","Report of Temporary Withdrawal of Registration Statement. Filed by companies that are withdrawing their registration statements.","https://www.sec.gov/Archives/edgar/data/1876509/999999999724003621/9999999997-24-003621-index.html","https://www.sec.gov/Archives/edgar/data/1876509/999999999724003621/9999999997-24-003621.paper"
"19B-4E","30223","Filing of a Derivative Pricing Model or Model Risk Management Compliance Plan or Amendment.  ","https://www.sec.gov/Archives/edgar/data/1143362/999999999724003605/9999999997-24-003605-index.html","https://www.sec.gov/Archives/edgar/data/1143362/999999999724003605/9999999997-24-003605.paper"
"13F-HR/A","30135","Amendment to a 13F-HR filing.  ","https://www.sec.gov/Archives/edgar/data/1824821/000142050624001962/0001420506-24-001962-index.html","https://www.sec.gov/Archives/edgar/data/1824821/000142050624001962/xslForm13F_X02/primary_doc.xml"
"DFAN14A","29488","Additional Definitive Proxy Statement.  May be used to correct errors in a DEF 14A filing.","https://www.sec.gov/Archives/edgar/data/937556/000110465924095645/0001104659-24-095645-index.html","https://www.sec.gov/Archives/edgar/data/937556/000110465924095645/tm2423143-1_dfan14a.htm"
"25-NSE","28968","Current report by national securities exchanges.  ","https://www.sec.gov/Archives/edgar/data/1837429/000087666124000808/0000876661-24-000808-index.html","https://www.sec.gov/Archives/edgar/data/876661/000087666124000808/xslF25X02/primary_doc.xml"
"485BXT","28901","Post-effective amendment to a registration statement filed on Form N-1A relating to certain open-ended management investment companies that operate as business development companies.  ","https://www.sec.gov/Archives/edgar/data/1879238/000182912624005986/0001829126-24-005986-index.html","https://www.sec.gov/Archives/edgar/data/1879238/000182912624005986/bondbloxxetf_485bxt.htm"
"S-1","28613","Registration statement for securities offerings.  ","https://www.sec.gov/Archives/edgar/data/1671584/000095017024102458/0000950170-24-102458-index.html","https://www.sec.gov/Archives/edgar/data/1671584/000095017024102458/apvo-2024-s1_-_sept_offe.htm"
"POSASR","27823","Post-Effective Amendment to an Automatic Shelf Registration Statement. Used for updating or making changes to a previously filed automatic shelf registration.","https://www.sec.gov/Archives/edgar/data/844551/000119312524211048/0001193125-24-211048-index.html","https://www.sec.gov/Archives/edgar/data/844551/000119312524211048/d888692dposasr.htm"
"8-A12B","27429","Registration of securities under Section 12(b) of the Exchange Act.   ","https://www.sec.gov/Archives/edgar/data/1579881/000110465924095347/0001104659-24-095347-index.html","https://www.sec.gov/Archives/edgar/data/1579881/000110465924095347/tm2419349d8_8a12b.htm"
"SC TO-T/A","25609","Issuer Tender Offer Statement on Schedule TO. An amendment to a Schedule TO filing, which is related to tender offers by the issuer of the securities.","https://www.sec.gov/Archives/edgar/data/1952901/000110465924093918/0001104659-24-093918-index.html","https://www.sec.gov/Archives/edgar/data/912958/000110465924093918/tm2422816d1_sctota.htm"
"S-6","24683","Registration statement for unit investment trusts. Filed to register securities issued by unit investment trusts.","https://www.sec.gov/Archives/edgar/data/2030710/000144554624006061/0001445546-24-006061-index.html","https://www.sec.gov/Archives/edgar/data/2030710/000144554624006061/s-6.htm"
"487","22709","Prospectus Filed Pursuant to Rule 430B.  ","https://www.sec.gov/Archives/edgar/data/2024500/000144554624006057/0001445546-24-006057-index.html","https://www.sec.gov/Archives/edgar/data/2024500/000144554624006057/s487.htm"
"40-17F2","22314","Notice of Intention by or on Behalf of a Credit Rating Agency To Register with the Commission as a Nationally Recognized Statistical Rating Organization or to File a Registration Statement.   ","https://www.sec.gov/Archives/edgar/data/1885551/000143510924000346/0001435109-24-000346-index.html","https://www.sec.gov/Archives/edgar/data/1885551/000143510924000346/d17f2incomerealestate0724.htm"
"10-K405","21272","Annual Report for Companies Subject to Regulation A.  ","https://www.sec.gov/Archives/edgar/data/1078420/000095016802000788/0000950168-02-000788-index.html","https://www.sec.gov/Archives/edgar/data/1078392/000095016802000788/d10k405.txt"
"15-15D","21156","Securities Ownership and Trading by the Issuer. This relates to companies repurchasing their own shares.","https://www.sec.gov/Archives/edgar/data/1896511/000121390024072039/0001213900-24-072039-index.html","https://www.sec.gov/Archives/edgar/data/1896511/000121390024072039/ea0212239-1515d_zkgcnew.htm"
"ABS-15G","20779","Filed for offerings of asset-backed securities.  ","https://www.sec.gov/Archives/edgar/data/807641/000092963824003029/0000929638-24-003029-index.html","https://www.sec.gov/Archives/edgar/data/807641/000092963824003029/abs15g.htm"
"20-F","19836","Registration or annual report for foreign private issuers.  Foreign companies whose securities trade on US exchanges file this.","https://www.sec.gov/Archives/edgar/data/811809/000119312524210297/0001193125-24-210297-index.html","https://www.sec.gov/ix?doc=/Archives/edgar/data/811809/000119312524210297/d812514d20f.htm"
"N-CEN","19826","Ceasing of registration as investment company. Filed by investment companies that are no longer eligible or choose to deregister.","https://www.sec.gov/Archives/edgar/data/311101/000114554924056424/0001145549-24-056424-index.html","https://www.sec.gov/Archives/edgar/data/311101/000114554924056424/xslFormN-CEN_X01/primary_doc.xml"
"40-APP","19792","Application for an Order under the Investment Company Act of 1940. Filed by investment companies seeking orders or approvals from the SEC.","https://www.sec.gov/Archives/edgar/data/2035332/000119312524210927/0001193125-24-210927-index.html","https://www.sec.gov/Archives/edgar/data/1393825/000119312524210927/d854196d40app.htm"
"SC TO-I/A","17558","Amendment of Third-Party Tender Offer Statement (Schedule TO). Used by third parties (not the issuer) for changes in tender offer details.","https://www.sec.gov/Archives/edgar/data/1911321/000114036124039419/0001140361-24-039419-index.html","https://www.sec.gov/Archives/edgar/data/1911321/000114036124039419/ny20034883x2_sctoia.htm"
"10QSB/A","17117","Amendment to Quarterly Report of Smaller Reporting Companies.  Used to correct errors in 10-QSB filings.","https://www.sec.gov/Archives/edgar/data/351809/000101629508000200/0001016295-08-000200-index.html","https://www.sec.gov/Archives/edgar/data/351809/000101629508000200/frm10qsba-31dec07_wea.htm"
"NSAR-U","16609","Filed by a Registered Management Investment Company for Which Form N-1A Is a Model Form or a Closed-End Management Investment Company to File Reports of Proxy Voting Records.  ","https://www.sec.gov/Archives/edgar/data/1636919/000089109219002297/0000891092-19-002297-index.html","https://www.sec.gov/Archives/edgar/data/1636919/000089109219002297/e4162nsaru.htm"
"SB-2/A","16540","Amendment No. 1 to Registration of Securities to be Offered and Sold in Reliance upon Exemption from Registration under Regulation Crowdfunding.  Relates to crowdfunding.","https://www.sec.gov/Archives/edgar/data/1353972/000114420408006101/0001144204-08-006101-index.html","https://www.sec.gov/Archives/edgar/data/1353972/000114420408006101/v101960_sb2a.htm"
"CT ORDER","16236","Court order.  ","https://www.sec.gov/Archives/edgar/data/1835681/999999999724003663/9999999997-24-003663-index.html","https://www.sec.gov/Archives/edgar/data/1835681/999999999724003663/filename1.pdf"
"RW","14711","Withdrawal request. This is for withdrawing a registration statement or other filing with the SEC, often before it becomes effective.","https://www.sec.gov/Archives/edgar/data/1948292/000121390024074325/0001213900-24-074325-index.html","https://www.sec.gov/Archives/edgar/data/1948292/000121390024074325/ea0213076-rw_delta.htm"
"424B4","14605","Prospectus. This prospectus is filed as part of a registration statement or to provide additional information about the securities offering.","https://www.sec.gov/Archives/edgar/data/925741/000143774924028164/0001437749-24-028164-index.html","https://www.sec.gov/Archives/edgar/data/925741/000143774924028164/bcda20240830e_424b4.htm"
"15-12G","14543","Certification of Termination of Registration. This is filed by a company that is no longer required to file reports under Section 13 or 15(d) of the Exchange Act.","https://www.sec.gov/Archives/edgar/data/814549/000119312524211243/0001193125-24-211243-index.html","https://www.sec.gov/Archives/edgar/data/814549/000119312524211243/d882868d1512g.htm"
"DEF 14C","13529","Definitive Information Statement.  This is sent to shareholders when a vote is not required. ","https://www.sec.gov/Archives/edgar/data/1022804/000102280424000005/0001022804-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1022804/000102280424000005/def14c-globalalloc.htm"
"N-30B-2","13329","Notification of Termination of Reporting Obligation Filed Pursuant to Rule 12h-6 under the Investment Company Act of 1940.  ","https://www.sec.gov/Archives/edgar/data/726352/000119312524210552/0001193125-24-210552-index.html","https://www.sec.gov/Archives/edgar/data/726352/000119312524210552/d835875dn30b2.htm"
"MA-I/A","13035","Amendment to Merger or Acquisition Statement. Filed to correct or update information from a previously filed MA-I, which relates to mergers and acquisitions.","https://www.sec.gov/Archives/edgar/data/1123374/000112337424000005/0001123374-24-000005-index.html","https://www.sec.gov/Archives/edgar/data/1123374/000112337424000005/xslFormMA-I_X01/primary_doc.xml"
